Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5",0603,3,10uF,C1691
"C10, C23",0402,2,1uF,C52923
"C13, C24, C25, C7, C8, C9",0402,6,100nf,C1525
"C2, C4",0603,2,1uF,C15849
C6,0805,1,47uF,C16780
J2,PinHeader_1x07_P2.54mm_Vertical,1,Display 1.28 Inch,
"R1, R2",0402,2,22,C25092
"R10, R7",0402,2,5.1K,C25905
"R3, R4",0402,2,2.2K,C25879
"R5, R8",0402,2,10K,C25744
R6,0402,1,330,C25104
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,C318884
U1,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
U2,SOT-23-5,1,AP2112K-3.3,C51118
U4,XDCR_BMI270,1,BMI270,C2836813
U5,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1/U,C5736265
