Designator,Mid X,Mid Y,Rotation,Layer
C1,133.9,-99.19,0.0,bottom
C10,119.98,-112.9,270.0,bottom
C13,122.74,-107.74,270.0,bottom
C2,134.07,-101.615,90.0,bottom
C23,131.57,-126.11,180.0,bottom
C24,131.57,-125.17,180.0,bottom
C25,131.97,-122.93,90.0,bottom
C3,142.565,-100.865,90.0,bottom
C4,144.03,-101.805,90.0,bottom
C5,118.79,-113.215,270.0,bottom
C6,140.86,-100.64,90.0,bottom
C7,122.74,-112.9,270.0,bottom
C8,121.82,-112.9,270.0,bottom
C9,120.9,-112.9,270.0,bottom
J2,130.0,-134.73,90.0,top
R1,129.25,-102.105,270.0,bottom
R10,127.345,-99.0,0.0,bottom
R2,130.425,-102.1,270.0,bottom
R3,127.27,-123.995,90.0,bottom
R4,127.27,-122.13,90.0,bottom
R5,117.49,-106.64,270.0,bottom
R6,137.8,-103.25,180.0,bottom
R7,136.15,-94.01,180.0,bottom
R8,143.44,-114.23,180.0,bottom
SW1,114.175,-110.0,270.0,bottom
SW2,145.825,-110.0,270.0,bottom
U1,129.99,-95.3475,180.0,bottom
U2,137.8275,-100.83,0.0,bottom
U4,130.005,-122.95,270.0,bottom
U5,130.0,-112.7,180.0,bottom
